TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;4,92;;-10,68;0,70;0,26;27,98;10,49;-5,65;5,75;9,92;4,17;0,51;0,60;-59,42;-0,35;0,98;-6,53;-2,46;6,81;0,38;0,61;0,43;2,55;;273.796,10;7,06;-0,46;0,14;749.608.651,44
ABCB4;21,47;7,66;7,20;0,82;0,08;17,76;12,53;10,94;6,29;6,29;;;0,79;1,61;-0,08;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;7.369.039,38;26,07;2,98;-0,31;5.252.782.719,79
ABEV3;13,51;6,83;14,76;2,25;1,45;51,46;24,69;15,74;9,41;8,65;-0,76;-0,18;2,32;50,61;-2,05;1,11;15,27;9,80;17,85;0,64;0,35;0,62;11,20;4,14;274.736.413,71;6,00;0,92;-29,83;212.939.739.593,56
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,05;;-0,25;2,27;0,12;10,79;-63,54;-81,51;-0,33;-2,28;-1,96;13,58;0,21;-28,57;-0,20;0,99;-889,48;-46,89;-46,90;0,05;0,95;0,58;12,70;;659.009,38;1,79;-15,89;0,00;251.586.793,80
AESB3;8,12;;-16,19;1,17;0,37;26,76;21,13;-10,72;8,21;18,23;10,02;1,42;1,74;-6,64;-0,42;0,67;-7,21;-2,28;4,73;0,32;0,63;0,21;;;13.684.494,00;6,96;-0,50;0,01;6.973.842.690,64
AFLT3;7,05;7,65;19,69;1,80;1,42;58,08;53,92;41,22;15,05;14,33;-0,72;-0,09;8,11;15,57;-1,88;1,59;9,13;7,19;8,69;0,79;0,21;0,17;14,85;-0,02;4.532,44;3,92;0,36;-1,08;444.747.135,00
AGRO3;20,80;7,48;6,90;0,98;0,54;39,38;29,46;22,84;5,35;8,50;3,15;0,58;1,58;4,62;-0,79;1,58;14,27;7,79;10,23;0,55;0,45;0,34;13,78;11,82;2.829.866,67;21,13;3,02;0,22;2.135.815.635,20
AGXY3;6,07;;-0,04;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;203.962,48;-118,43;-172,09;0,00;103.005.295,97
AHEB3;35,80;;2,14;1,91;0,59;28,07;22,41;20,02;1,91;1,50;-0,43;-0,43;0,43;1,51;-1,49;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;7.520,00;18,75;16,75;0,05;308.890.982,60
AHEB5;58,00;;3,46;3,09;0,96;28,07;22,41;20,02;3,09;1,50;-0,43;-0,43;0,69;2,44;-2,41;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;13.866,67;18,75;16,75;0,07;308.890.982,60
